rating, material, time_in_seconds
100, G4Bambootrain9, 37.482199
120, G4CherryTreetest6, 14.419583
80, G3Coppertrain9, 13.368449
82, G3Brasstrain7, 14.052644
30, G9RedVelvettrain9, 15.335337
80, G3StainlessSteeltrain5, 11.013359
10, G9Jeanstrain3, 12.908005
5, G6Toweltest3, 10.421036
15, G9TextileVersion4train7, 8.638121
3, G9Jeanstest4, 11.320911
50, G3Coppertest4, 17.733153
50, G8GlitterPaperVersion2test3, 10.064698
28, G8PlayingCardPapertrain1, 17.487717
8, G9TextileVersion4test5, 10.095282
98, G4Bambootest4, 8.76195
120, G2StoneTileVersion1train7, 9.893537
110, G2StoneTileVersion3train5, 10.663022
115, G2StoneTileVersion2train5, 8.220797
80, G3StainlessSteeltrain8, 10.554301
65, G9TextileVersion3test1, 24.719425
125, G2StoneTileVersion2train6, 7.926572
70, G3Coppertest5, 9.632403
45, G8GlitterPaperVersion2test4, 15.540896
40, G8Papertest2, 9.87939
65, G9TableClothVersion2test1, 6.663964
70, G3Coppertrain6, 11.828704
90, G1ProfiledAluminumPlatetest7, 9.703528
75, G3StainlessSteeltrain1, 22.198559
105, G4WoodenPapertrain2, 7.775011
35, G9TableClothVersion2train7, 9.230759
10, G9RedVelvettest4, 10.77636
110, G1ProfiledAluminumPlatetrain6, 16.129631
75, G3Brasstest6, 15.605824
5, G6Toweltest7, 7.214982
55, G9TableClothVersion2train4, 21.260877
72, G2CrushedRocktest4, 9.789312
40, G9TextileVersion3train4, 8.17096
118, G4ProfiledWoodPlatetrain9, 9.552727
100, G4CompressedWoodVersion1test3, 100552.681706
30, G9RedVelvettest2, 142.216781
95, G4WoodenPapertest2, 23.829789
69, G9TextileVersion3test2, 11.319735
15, G9RedFleezetest7, 11.094199
95, G4Bambootest3, 11.306857
15, G6Toweltest1, 9.746685
95, G4Bambootest5, 9.295447
65, G3StainlessSteeltest7, 13.371743
60, G3StainlessSteeltrain2, 8.216616
5, G9RedVelvettrain1, 43.22982
115, G1ProfiledAluminumPlatetrain2, 14.841611
135, G4LaminatedWoodtrain6, 19.314527
80, G2StoneTileVersion3train8, 19.868552
9, G9TextileVersion4test3, 18.122765
140, G4LaminatedWoodtrain5, 8.481437
12, G8Papertest5, 17.573604
101, G2Bricktrain2, 12.260604
30, G3Brasstest7, 13.325291
94, G2Bricktrain3, 7.463739
20, G9RedVelvettest7, 8.046307
80, G2Marbletrain7, 108.279195
22, G9Jeanstest3, 209.288284
44, G2CrushedRocktest2, 36.129234
90, G2StoneTileVersion2test3, 22.835138
42, G9TableClothVersion2train1, 19.436133
33, G8PlayingCardPapertrain8, 15.679293
66, G9TableClothVersion2test4, 14.826632
95, G4CompressedWoodVersion1train8, 1756.500381
10, G8RoughPapertest5, 220.638505
95, G1ProfiledAluminumPlatetest6, 6.807827
9, G9GreenVelvettrain2, 9.332836
8, G9TextileVersion4test4, 9.761273
